name,smiles,mw,logp,hbd,hba,category
Aspirin,CC(=O)Oc1ccccc1C(=O)O,180.16,1.19,1,4,Analgesic
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,206.28,3.97,1,2,NSAID
Acetaminophen,CC(=O)Nc1ccc(O)cc1,151.16,0.46,2,3,Analgesic
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19,-0.07,0,6,Stimulant
Metformin,CN(C)C(=N)NC(=N)N,129.16,-1.36,3,5,Antidiabetic
Atorvastatin,CC(C)c1n(CC(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c(c1c3ccccc3)C(=O)Nc4ccccc4,558.64,6.36,4,9,Statin
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36,1.88,2,4,Beta-blocker
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,345.42,2.23,1,6,PPI
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,365.4,0.87,4,7,Antibiotic
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.34,0.28,2,6,Antibiotic
Lisinopril,NCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N2CCCC2C(=O)O,405.49,-0.62,4,8,ACE inhibitor
Losartan,CCCCc1nc(Cl)c(n1Cc2ccc(c(c2)c3nnn[nH]3)c4ccccc4CO)CO,422.91,4.01,3,7,ARB
Simvastatin,CCC(C)(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,418.57,4.68,2,5,Statin
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1c2ccccc2Cl)C(=O)OC,408.88,3.0,2,7,CCB
Warfarin,CC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O,308.33,2.7,1,4,Anticoagulant
