gene_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
FKBP5,209,661,178,275,66,444,148,695
TSC22D3,9,40,10,58,6,117,6,90
DUSP1,2384,4000,986,7172,1108,5514,1149,5197
PER1,17,250,25,48,38,75,32,219
KLF9,6,14,1,10,10,33,8,11
ZBTB16,259,686,278,885,201,985,135,497
ERRFI1,2,3,3,28,2,6,0,3
DDIT4,5392,20217,3550,15440,3651,14610,4068,17821
TXNIP,40,45,34,69,7,75,23,63
NFKBIA,1642,4546,1324,2681,756,5426,1670,9677
SGK1,4186,4818,1891,8992,2877,8660,1728,8770
CEBPD,10037,5445,3898,35767,3946,51242,1916,36924
IGFBP1,17387,76205,19046,58342,15450,95155,29097,42341
ANGPTL4,15,28,11,33,10,51,8,84
MT2A,2399,10040,2115,9307,3198,14211,880,7645
SAA1,2428,10040,1216,8337,1977,5876,2233,7297
PDK4,127,594,161,346,104,247,97,448
GLUL,4,18,5,46,6,29,8,22
IL8,3,0,3,0,2,0,2,1
IL6,4,2,1,0,4,0,3,0
CCL2,129,15,154,51,216,37,229,46
CXCL1,24,4,8,4,41,13,11,0
CXCL2,353,118,319,89,120,92,244,93
CXCL3,0,0,0,0,0,0,0,0
ICAM1,4,0,11,2,5,0,7,1
SELE,138,37,77,72,142,31,117,23
VCAM1,27,4,24,2,20,18,10,2
MMP1,743,309,254,274,677,56,665,132
MMP3,210,28,116,82,394,130,65,73
MMP9,1153,939,2042,259,584,230,895,615
PTGS2,0,2,35,0,7,2,16,1
NOS2,88,15,37,31,91,22,76,23
TNF,2499,744,1999,311,1640,367,1090,736
IL1B,19,8,19,7,15,3,22,5
CSF2,1,0,0,0,1,0,0,0
NFKB2,326,64,385,203,466,92,267,102
ENSG00000000003,0,0,1,2,0,3,2,13
ENSG00000000005,361,367,192,141,162,440,224,1706
ENSG00000000419,1,8,2,3,1,1,1,1
ENSG00000000457,0,0,3,0,0,0,1,3
ENSG00000000460,1,0,2,2,0,1,0,7
ENSG00000000938,268,134,567,1237,556,264,622,942
ENSG00000000971,48,63,48,14,40,35,56,59
ENSG00000001036,1,1,2,5,1,4,0,25
ENSG00000001084,73,139,22,186,151,43,21,48
ENSG00000001167,438,371,360,569,807,432,794,411
ENSG00000100,587,234,865,3477,442,115,492,4020
ENSG00000101,25,29,17,123,34,25,1,62
ENSG00000102,2,0,1,3,0,0,2,0
ENSG00000103,231,426,106,474,245,60,155,144
ENSG00000104,33,77,111,13,23,25,37,30
ENSG00000105,57,81,25,144,64,51,31,208
ENSG00000106,74,92,181,42,145,151,63,55
ENSG00000107,2,5,6,3,7,12,14,15
ENSG00000108,13,125,14,13,41,134,15,21
ENSG00000109,10,13,3,1,9,11,0,3
ENSG00000110,15,4,2,1,6,42,17,4
ENSG00000111,17,61,8,8,6,12,1,6
ENSG00000112,2,2,0,0,0,0,3,3
ENSG00000113,0,0,0,0,1,2,0,0
ENSG00000114,19,9,8,4,20,4,5,71
ENSG00000115,4421,1689,6275,1571,2429,12181,2298,1202
ENSG00000116,30,65,18,108,32,3,52,20
ENSG00000117,381,81,300,156,260,520,373,75
ENSG00000118,0,4,0,0,4,1,2,0
ENSG00000119,27,114,9,35,36,0,28,68
ENSG00000120,1851,2723,1551,692,1703,2677,1379,1731
ENSG00000121,15,111,48,12,20,105,31,7
ENSG00000122,428,188,525,122,203,672,628,1309
ENSG00000123,3,3,0,3,1,2,3,4
ENSG00000124,24,17,28,11,82,11,35,16
ENSG00000125,12,21,13,19,5,17,9,34
ENSG00000126,102,269,43,35,57,337,38,21
ENSG00000127,292,1134,301,398,275,283,323,209
ENSG00000128,13,126,24,132,50,9,71,192
ENSG00000129,8,11,30,88,33,36,35,6
ENSG00000130,0,0,1,0,1,0,0,0
ENSG00000131,96,175,20,220,19,95,5,98
ENSG00000132,106,90,182,212,118,81,97,401
ENSG00000133,8,2,4,8,8,4,12,0
ENSG00000134,74,101,83,136,121,123,80,651
ENSG00000135,3,0,1,0,0,0,0,0
ENSG00000136,15,276,49,42,51,115,50,179
ENSG00000137,9,10,13,17,3,11,5,15
ENSG00000138,103,573,220,380,235,359,197,331
ENSG00000139,10,5,13,53,17,17,9,5
ENSG00000140,618,724,493,165,178,332,390,835
ENSG00000141,47,452,127,503,259,419,100,71
ENSG00000142,6,14,31,13,37,154,32,105
ENSG00000143,528,42,150,167,91,316,169,499
ENSG00000144,0,0,0,5,0,0,1,0
ENSG00000145,5,14,2,79,2,9,7,37
ENSG00000146,156,55,70,255,83,276,173,556
ENSG00000147,1,0,4,0,0,0,1,3
ENSG00000148,0,1,2,1,1,3,0,0
ENSG00000149,3,1,4,12,6,0,2,6
ENSG00000150,30,57,15,95,34,51,12,11
ENSG00000151,10705,30150,6340,29344,5777,3122,3653,16716
ENSG00000152,414,692,360,124,274,727,288,1144
