accession,gene,length,protein_name
A0A087X1C5,CYP2D7,515,Cytochrome P450 2D7 (EC 1.14.14.1)
A0A096LP01,SMIM26,95,Small integral membrane protein 26
A0A0B4J2F0,PIGBOS1,54,Protein PIGBOS1 (PIGB opposite strand protein 1)
A0A0C5B5G6,MT-RNR1,16,Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)
A0A0K2S4Q6,CD300H,201,Protein CD300H (CD300 antigen-like family member H)
A0A0U1RRE5,NBDY,68,Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)
A0A1B0GTW7,CIROP,788,Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)
A0A2R8Y7D0,TINCR,87,Ubiquitin domain-containing protein TINCR (Placenta-specific protein 2) (Terminal differentiation-induced cornification regulator) (pTINCR microprotein)
A0A8I5KQE6,RPSA2,295,Small ribosomal subunit protein uS2B (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (40S ribosomal protein SA2) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)
A0AV02,SLC12A8,714,Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)
A0AV96,RBM47,593,RNA-binding protein 47 (RNA-binding motif protein 47)
A0AVF1,IFT56,554,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVI4,TMEM129,362,E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)
A0AVK6,E2F8,867,Transcription factor E2F8 (E2F-8)
A0AVT1,UBA6,1052,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)
A0FGR8,ESYT2,921,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)
A0FGR9,ESYT3,886,Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)
A0JLT2,MED19,244,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)
A0JNW5,BLTP3B,1464,Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)
A0JP26,POTEB3,581,POTE ankyrin domain family member B3
A0M8Q6,IGLC7,106,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)
A0MZ66,SHTN1,631,Shootin-1 (Shootin1)
A0PJK1,SLC5A10,596,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)
A0PJY2,FEZF1,475,Fez family zinc finger protein 1 (Zinc finger protein 312B)
A0PK00,TMEM120B,339,Transmembrane protein 120B
A0PK05,TMEM72,275,Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)
A0PK11,CLRN2,232,Clarin-2
A1A4S6,ARHGAP10,786,Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)
A1A4Y4,IRGM,181,Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)
A1A519,FAM170A,330,Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)
A1A5B4,ANO9,782,Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)
A1A5C7,SLC22A23,686,Solute carrier family 22 member 23
A1E959,ODAM,279,Odontogenic ameloblast-associated protein (Apin)
A1KXE4,FAM168B,195,Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)
